File,sentId,Sentence,SentenceParse,eId,eiId,eText,Normalization,FactValues,PragValues,TrainTest
APW20000124.0182.tml,7,"``It allows us to spread his name far and wide across Canada and say that he is wanted for attempted murder,\'\' said police Inspector Dave Bowen.","(SINV (`` ``) (S (NP (PRP It)) (VP (VP (VBZ allows) (S (NP (PRP us)) (VP (TO to) (VP (VB spread) (NP (PRP$ his) (NN name)) (ADVP (JJ far) (CC and) (JJ wide)) (PP (IN across) (NP (NNP Canada))))))) (CC and) (VP (VBP say) (SBAR (IN that) (S (NP (PRP he)) (VP (VBZ is) (VP (VBN wanted) (PP (IN for) (NP (VBN attempted) (NN murder)))))))))) (, ,) ('' ') ('' ') (VP (VBD said)) (NP (NN police) (NNP Inspector) (NNP Dave) (NNP Bowen)) (. .))",e16,ei16,say,police Inspector Dave Bowen says that someone is wanted for attempted murder,Bowen_AUTHOR:uu|AUTHOR:uu,ct_minus:0|ct_plus:9|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:1,test
CNN19980126.1600.1104.tml,7,"But I think right now, for AT and T and the people here, it\'s fairly intense as you might w- well imagine.","(S (CC But) (NP (PRP I)) (VP (VBP think) (ADVP (RB right) (RB now)) (, ,) (PP (IN for) (NP (NP (NP (NNP AT)) (CC and) (NP (NN T))) (CC and) (NP (DT the) (NNS people) (S (ADVP (RB here)) (, ,) (NP (PRP it)) (VP (VBZ 's) (ADJP (RB fairly) (JJ intense)) (SBAR (IN as) (S (NP (PRP you)) (VP (MD might) (VP (VB w))))))))))) (: -) (S (ADVP (RB well)) (VP (VB imagine))) (. .))",e46,ei269,intense,it's fairly intense for AT and T and the people here,AUTHOR:pr_plus,ct_minus:0|ct_plus:4|pr_minus:0|pr_plus:4|ps_minus:0|ps_plus:1|uu:1,train
CNN19980213.2130.0155.tml,3,"The US military buildup in the Persian gulf continues apace, more planes headed from the united states and senior officials say Iraq\'s president Saddam Hussein can expect punishing air strikes to continue well into the future if he does n\'t stop building biological and chemical weapons.","(S (S (NP (NP (DT The) (NNP US) (JJ military) (NN buildup)) (PP (IN in) (NP (DT the) (JJ Persian) (NN gulf)))) (VP (VBZ continues) (NP (NP (NN apace)) (, ,) (NP (NP (JJR more) (NNS planes)) (VP (VBN headed) (PP (IN from) (NP (DT the) (VBN united) (NNS states)))))))) (CC and) (S (NP (JJ senior) (NNS officials)) (VP (VBP say) (SBAR (S (NP (NP (NNP Iraq) (POS 's)) (NN president) (NNP Saddam) (NNP Hussein)) (VP (MD can) (VP (VB expect) (S (VP (VBG punishing) (NP (NN air) (NNS strikes)) (S (VP (TO to) (VP (VB continue) (ADVP (RB well)) (PP (IN into) (NP (DT the) (NN future))) (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ does) (S (NP (NP (NN n) (POS ')) (NN t) (NN stop)) (VP (VBG building) (NP (JJ biological) (CC and) (NN chemical) (NNS weapons)))))))))))))))))) (. .))",e10,ei581,expect,Saddam Hussein expects punishing air strikes to continue well into the future,officials_AUTHOR:uu|AUTHOR:uu,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:3|ps_minus:0|ps_plus:4|uu:2,train
CNN19980213.2130.0155.tml,6,The united states is not authorized to use force before going to the council.,(S (NP (DT The) (VBN united) (NNS states)) (VP (VBZ is) (RB not) (VP (VBN authorized) (S (VP (TO to) (VP (VB use) (NP (NN force)) (PP (IN before) (S (VP (VBG going) (PP (TO to) (NP (DT the) (NN council))))))))))) (. .)),e40,ei601,authorized,the united states is authorized to use force before going to the council,AUTHOR:ct_minus,ct_minus:10|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
CNN19980213.2130.0155.tml,7,"President Clinton, meantime, glossed over stern warnings from Moscow on Thursday that US air strikes against Iraq could do serious harm to relations with the Kremlin.","(S (NP (NNP President) (NNP Clinton)) (, ,) (ADVP (RB meantime)) (, ,) (VP (VBD glossed) (PRT (RP over)) (NP (JJ stern) (NNS warnings)) (PP (IN from) (NP (NNP Moscow))) (PP (IN on) (NP (NNP Thursday))) (SBAR (IN that) (S (NP (NP (NNP US) (NN air) (NNS strikes)) (PP (IN against) (NP (NNP Iraq)))) (VP (MD could) (VP (VB do) (NP (JJ serious) (NN harm)) (PP (TO to) (NP (NP (NNS relations)) (PP (IN with) (NP (DT the) (NNP Kremlin)))))))))) (. .))",e50,ei608,harm,there will be serious harm to relations with the Kremlin,AUTHOR:ps_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:1|ps_minus:0|ps_plus:8|uu:0,train
CNN19980213.2130.0155.tml,7,"President Clinton, meantime, glossed over stern warnings from Moscow on Thursday that US air strikes against Iraq could do serious harm to relations with the Kremlin.","(S (NP (NNP President) (NNP Clinton)) (, ,) (ADVP (RB meantime)) (, ,) (VP (VBD glossed) (PRT (RP over)) (NP (JJ stern) (NNS warnings)) (PP (IN from) (NP (NNP Moscow))) (PP (IN on) (NP (NNP Thursday))) (SBAR (IN that) (S (NP (NP (NNP US) (NN air) (NNS strikes)) (PP (IN against) (NP (NNP Iraq)))) (VP (MD could) (VP (VB do) (NP (JJ serious) (NN harm)) (PP (TO to) (NP (NP (NNS relations)) (PP (IN with) (NP (DT the) (NNP Kremlin)))))))))) (. .))",e118,ei607,do,US air strikes against Iraq will do serious harm to relations with the Kremlin,AUTHOR:ps_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:1|ps_minus:0|ps_plus:8|uu:0,train
CNN19980213.2130.0155.tml,10,One contrary view of the issue presented itself to the president as he arrived in Philadelphia later in the day.,(S (NP (NP (CD One) (NN contrary) (NN view)) (PP (IN of) (NP (DT the) (NN issue)))) (VP (VBD presented) (NP (PRP itself)) (PP (TO to) (NP (DT the) (NN president))) (SBAR (IN as) (S (NP (PRP he)) (VP (VBD arrived) (PP (IN in) (NP (NNP Philadelphia))) (PP (ADVP (RB later)) (IN in) (NP (DT the) (NN day))))))) (. .)),e61,ei618,arrived,the president arrived in Philadelphia,AUTHOR:ct_plus,ct_minus:0|ct_plus:10|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
CNN19980213.2130.0155.tml,13,Annan has no trip planned so far.,(S (NP (NNP Annan)) (VP (VBZ has) (NP (NP (DT no) (NN trip)) (VP (VBN planned) (ADVP (RB so) (RB far))))) (. .)),e141,ei631,planned,Annan planned a trip,AUTHOR:ct_minus,ct_minus:9|ct_plus:0|pr_minus:1|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
CNN19980222.1130.0084.tml,2,Diplomacy appears to be making headway in resolving the united nation\'s standoff with Iraq.,(S (NP (NNP Diplomacy)) (VP (VBZ appears) (S (VP (TO to) (VP (VB be) (VP (VBG making) (NP (NN headway)) (PP (IN in) (S (VP (VBG resolving) (NP (NP (NP (DT the) (VBN united) (NN nation) (POS 's)) (NN standoff)) (PP (IN with) (NP (NNP Iraq)))))))))))) (. .)),e4,ei158,resolving,diplomacy is resolving the united nation's standoff with Iraq,AUTHOR:pr_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:5|ps_minus:0|ps_plus:5|uu:0,train
CNN19980222.1130.0084.tml,2,Diplomacy appears to be making headway in resolving the united nation\'s standoff with Iraq.,(S (NP (NNP Diplomacy)) (VP (VBZ appears) (S (VP (TO to) (VP (VB be) (VP (VBG making) (NP (NN headway)) (PP (IN in) (S (VP (VBG resolving) (NP (NP (NP (DT the) (VBN united) (NN nation) (POS 's)) (NN standoff)) (PP (IN with) (NP (NNP Iraq)))))))))))) (. .)),e1,ei156,appears,diplomacy appears to be making headway in resolving the united nation's standoff with Iraq,AUTHOR:ct_plus,ct_minus:0|ct_plus:7|pr_minus:0|pr_plus:1|ps_minus:0|ps_plus:2|uu:0,train
CNN19980222.1130.0084.tml,2,Diplomacy appears to be making headway in resolving the united nation\'s standoff with Iraq.,(S (NP (NNP Diplomacy)) (VP (VBZ appears) (S (VP (TO to) (VP (VB be) (VP (VBG making) (NP (NN headway)) (PP (IN in) (S (VP (VBG resolving) (NP (NP (NP (DT the) (VBN united) (NN nation) (POS 's)) (NN standoff)) (PP (IN with) (NP (NNP Iraq)))))))))))) (. .)),e2,ei157,making,diplomacy is making headway in resolving the united nation's standoff with Iraq,AUTHOR:pr_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:7|ps_minus:0|ps_plus:3|uu:0,train
CNN19980222.1130.0084.tml,5,He\'s expected to meet with Iraqi deputy prime minister Tariq Aziz later this afternoon.,(S (NP (PRP He)) (VP (VBZ 's) (VP (VBN expected) (S (VP (TO to) (VP (VB meet) (PP (IN with) (NP (JJ Iraqi) (JJ deputy) (JJ prime) (NN minister) (NNP Tariq) (NNP Aziz))) (NP-TMP (RBR later) (DT this) (NN afternoon))))))) (. .)),e73,ei167,meet,he will meet with Iraqi deputy prime minister Tariq Aziz,GEN_AUTHOR:pr_plus|AUTHOR:pr_plus,ct_minus:0|ct_plus:3|pr_minus:0|pr_plus:6|ps_minus:0|ps_plus:1|uu:0,train
CNN19980223.1130.0960.tml,1,"Despite the recent possibility of military conflict with Iraq, oil prices have been falling, that\'s because of a worldwide glut of oil.","(S (PP (IN Despite) (NP (NP (DT the) (JJ recent) (NN possibility)) (PP (IN of) (NP (NP (JJ military) (NN conflict)) (PP (IN with) (NP (NNP Iraq))))))) (, ,) (NP (NN oil) (NNS prices)) (VP (VBP have) (VP (VBN been) (VP (VBG falling) (, ,) (SBAR (IN that) (S (VP (VBZ 's) (PP (RB because) (IN of) (NP (NP (DT a) (JJ worldwide) (NN glut)) (PP (IN of) (NP (NN oil))))))))))) (. .))",e26,ei148,conflict,there will be a military conflict with Iraq,AUTHOR:ps_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:7|uu:1,train
CNN19980223.1130.0960.tml,2,"Now with a diplomatic solution to the crisis seemingly at hand, get set for oil prices from the Brent north sea variety to light swede crude to fall further.","(S (ADVP (RB Now)) (PP (IN with) (NP (NP (DT a) (JJ diplomatic) (NN solution)) (PP (TO to) (NP (NP (DT the) (NN crisis)) (ADJP (RB seemingly) (PP (IN at) (NP (NN hand)))))))) (, ,) (VP (VBP get) (S (VP (VBN set) (PP (IN for) (NP (NN oil) (NNS prices))) (PP (IN from) (NP (DT the) (NNP Brent) (NN north) (NN sea) (NN variety))) (PP (TO to) (NP (JJ light) (NN swede) (NN crude))))) (S (VP (TO to) (VP (VB fall) (RBR further))))) (. .))",e33,ei155,fall,oil prices will fall further,AUTHOR:pr_plus,ct_minus:0|ct_plus:2|pr_minus:0|pr_plus:7|ps_minus:0|ps_plus:0|uu:1,train
CNN19980223.1130.0960.tml,2,"Now with a diplomatic solution to the crisis seemingly at hand, get set for oil prices from the Brent north sea variety to light swede crude to fall further.","(S (ADVP (RB Now)) (PP (IN with) (NP (NP (DT a) (JJ diplomatic) (NN solution)) (PP (TO to) (NP (NP (DT the) (NN crisis)) (ADJP (RB seemingly) (PP (IN at) (NP (NN hand)))))))) (, ,) (VP (VBP get) (S (VP (VBN set) (PP (IN for) (NP (NN oil) (NNS prices))) (PP (IN from) (NP (DT the) (NNP Brent) (NN north) (NN sea) (NN variety))) (PP (TO to) (NP (JJ light) (NN swede) (NN crude))))) (S (VP (TO to) (VP (VB fall) (RBR further))))) (. .))",e32,ei153,hand,a diplomatic solution to the crisis is at hand,AUTHOR:pr_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:8|ps_minus:0|ps_plus:1|uu:0,train
CNN19980223.1130.0960.tml,2,"Now with a diplomatic solution to the crisis seemingly at hand, get set for oil prices from the Brent north sea variety to light swede crude to fall further.","(S (ADVP (RB Now)) (PP (IN with) (NP (NP (DT a) (JJ diplomatic) (NN solution)) (PP (TO to) (NP (NP (DT the) (NN crisis)) (ADJP (RB seemingly) (PP (IN at) (NP (NN hand)))))))) (, ,) (VP (VBP get) (S (VP (VBN set) (PP (IN for) (NP (NN oil) (NNS prices))) (PP (IN from) (NP (DT the) (NNP Brent) (NN north) (NN sea) (NN variety))) (PP (TO to) (NP (JJ light) (NN swede) (NN crude))))) (S (VP (TO to) (VP (VB fall) (RBR further))))) (. .))",e28,ei151,solution,there is a diplomatic solution to the crisis,AUTHOR:pr_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:8|ps_minus:0|ps_plus:1|uu:1,train
CNN19980223.1130.0960.tml,4,that \'s built up a heck of a momentum and that momentum will look to increase.,(S (NP (DT that)) (VP (VBZ 's) (VP (VBN built) (PRT (RP up)) (UCP (NP (NP (DT a) (NN heck)) (PP (IN of) (NP (DT a) (NN momentum)))) (CC and) (SBAR (IN that) (S (NP (NN momentum)) (VP (MD will) (VP (VB look) (S (VP (TO to) (VP (VB increase))))))))))) (. .)),e13,ei162,increase,the momentum will increase,AUTHOR:pr_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:7|ps_minus:0|ps_plus:3|uu:0,train
CNN19980227.2130.0067.tml,2,New evidence is suggesting that a series of bombings in Atalanta and last month\'s explosion at an Alabama women\'s clinic might be related.,(S (NP (NNP New) (NN evidence)) (VP (VBZ is) (VP (VBG suggesting) (SBAR (IN that) (S (NP (NP (DT a) (NN series)) (PP (IN of) (NP (NP (NP (NNS bombings)) (PP (IN in) (NP (NNP Atalanta)))) (CC and) (NP (NP (NP (JJ last) (NN month) (POS 's)) (NN explosion)) (PP (IN at) (NP (NP (DT an) (NNP Alabama) (NNS women) (POS 's)) (NN clinic))))))) (VP (MD might) (VP (VB be) (VP (VBN related)))))))) (. .)),e8,ei2001,related,a series of bombings in Atalanta and last month's explosion at an Alabama women's clinic are related,AUTHOR:ps_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:8|uu:0,train
CNN19980227.2130.0067.tml,16,Steel plates recovered at the Olympic park bombing appear to match those found at the abortion clinic bombing in Atlanta.,(S (NP (NP (NNP Steel) (NNS plates)) (VP (VBN recovered) (PP (IN at) (NP (DT the) (NNP Olympic) (NN park) (NN bombing))))) (VP (VBP appear) (S (VP (TO to) (VP (VB match) (NP (NP (DT those)) (VP (VBN found) (PP (IN at) (NP (NP (DT the) (NN abortion) (NN clinic) (NN bombing)) (PP (IN in) (NP (NNP Atlanta))))))))))) (. .)),e36,ei2017,match,the plates match those found at the abortion clinic bombing in Atlanta,AUTHOR:pr_plus,ct_minus:0|ct_plus:3|pr_minus:0|pr_plus:4|ps_minus:0|ps_plus:3|uu:0,train
CNN19980227.2130.0067.tml,17,"Those plates may have come from a machine shop in north Carolina, where a friend of Rudolph worked.","(S (NP (DT Those) (NNS plates)) (VP (MD may) (VP (VB have) (VP (VBN come) (PP (IN from) (NP (DT a) (NN machine) (NN shop))) (PP (IN in) (NP (NP (NNP north) (NNP Carolina)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (NP (DT a) (NN friend)) (PP (IN of) (NP (NNP Rudolph)))) (VP (VBD worked))))))))) (. .))",e42,ei2020,come,the plates came from a machine shop in north Carolina,AUTHOR:ps_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:1|ps_minus:0|ps_plus:9|uu:0,train
CNN19980227.2130.0067.tml,19,"A senior law enforcement source tells CNN, there is a lot of circumstantial evidence and it would be extraordinary to have all these bits and pieces and there not be a connection.","(S (S (NP (DT A) (JJ senior) (NN law) (NN enforcement) (NN source)) (VP (VBZ tells) (NP (NNP CNN)))) (, ,) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ circumstantial) (NN evidence)))))) (CC and) (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJ extraordinary) (S (VP (TO to) (VP (VP (VB have) (NP (PDT all) (DT these) (NNS bits) (CC and) (NNS pieces))) (CC and) (ADVP (RB there) (RB not)) (VP (VB be) (NP (DT a) (NN connection)))))))))) (. .))",e102,ei2027,extraordinary,it would be extraordinary,AUTHOR:uu,ct_minus:0|ct_plus:7|pr_minus:2|pr_plus:0|ps_minus:0|ps_plus:1|uu:0,train
CNN19980227.2130.0067.tml,19,"A senior law enforcement source tells CNN, there is a lot of circumstantial evidence and it would be extraordinary to have all these bits and pieces and there not be a connection.","(S (S (NP (DT A) (JJ senior) (NN law) (NN enforcement) (NN source)) (VP (VBZ tells) (NP (NNP CNN)))) (, ,) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ circumstantial) (NN evidence)))))) (CC and) (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJ extraordinary) (S (VP (TO to) (VP (VP (VB have) (NP (PDT all) (DT these) (NNS bits) (CC and) (NNS pieces))) (CC and) (ADVP (RB there) (RB not)) (VP (VB be) (NP (DT a) (NN connection)))))))))) (. .))",e104,ei2029,connection,there is a connection,AUTHOR:uu,ct_minus:0|ct_plus:0|pr_minus:1|pr_plus:7|ps_minus:0|ps_plus:2|uu:0,train
CNN19980227.2130.0067.tml,22,"Army of god letters claim responsibility for the Atlanta abortion clinic bombing, a nineteen ninety-seven attack on a gay lounge and the Birmingham assault.","(S (NP (NP (NNP Army)) (PP (IN of) (NP (NN god) (NNS letters)))) (VP (VBP claim) (NP (NP (NN responsibility)) (PP (IN for) (NP (NP (DT the) (NNP Atlanta) (NN abortion) (NN clinic) (NN bombing)) (, ,) (NP (NP (DT a) (JJ nineteen) (JJ ninety-seven) (NN attack)) (PP (IN on) (NP (NP (DT a) (JJ gay) (NN lounge)) (CC and) (NP (DT the) (NNP Birmingham) (NN assault))))))))) (. .))",e61,ei2035,attack,there was an attack on a gay lounge,Army_AUTHOR:ct_plus|AUTHOR:ct_plus,ct_minus:0|ct_plus:10|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
CNN19980227.2130.0067.tml,25,"Freeh also ordered the investigation consolidate information under the Atlanta task force, another indication officials suspect a link between all the bombings.","(S (S (NP (NNP Freeh)) (ADVP (RB also)) (VP (VBD ordered) (S (NP (DT the) (NN investigation)) (VP (VB consolidate) (NP (NN information)) (PP (IN under) (NP (DT the) (NNP Atlanta) (NN task) (NN force))))))) (, ,) (NP (DT another) (NN indication) (NNS officials)) (VP (VBP suspect) (NP (NP (DT a) (NN link)) (PP (IN between) (NP (PDT all) (DT the) (NNS bombings))))) (. .))",e72,ei2043,suspect,officials suspect a link between all the bombings,AUTHOR:pr_plus,ct_minus:0|ct_plus:6|pr_minus:0|pr_plus:4|ps_minus:0|ps_plus:0|uu:0,train
CNN19980227.2130.0067.tml,25,"Freeh also ordered the investigation consolidate information under the Atlanta task force, another indication officials suspect a link between all the bombings.","(S (S (NP (NNP Freeh)) (ADVP (RB also)) (VP (VBD ordered) (S (NP (DT the) (NN investigation)) (VP (VB consolidate) (NP (NN information)) (PP (IN under) (NP (DT the) (NNP Atlanta) (NN task) (NN force))))))) (, ,) (NP (DT another) (NN indication) (NNS officials)) (VP (VBP suspect) (NP (NP (DT a) (NN link)) (PP (IN between) (NP (PDT all) (DT the) (NNS bombings))))) (. .))",e110,ei2044,link,there is a link between all the bombings,officials_AUTHOR:pr_plus|AUTHOR:uu,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:5|ps_minus:0|ps_plus:5|uu:0,train
CNN19980227.2130.0067.tml,27,"Publicly, they are unwilling to make any sweeping assertion.","(S (ADVP (RB Publicly)) (, ,) (NP (PRP they)) (VP (VBP are) (ADJP (JJ unwilling) (S (VP (TO to) (VP (VB make) (NP (DT any) (JJ sweeping) (NN assertion))))))) (. .))",e80,ei2051,assertion,there are sweeping assertions,AUTHOR:ct_minus,ct_minus:9|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:1,train
NYT19980206.0460.tml,8,"The economy created jobs at a surprisingly robust pace in January, the government reported on Friday, evidence that America\'s economic stamina has withstood any disruptions caused so far by the financial tumult in Asia.","(S (S (NP (DT The) (NN economy)) (VP (VBD created) (NP (NNS jobs)) (PP (IN at) (NP (NP (DT a) (ADJP (RB surprisingly) (JJ robust)) (NN pace)) (PP (IN in) (NP (NNP January))))))) (, ,) (NP (DT the) (NN government)) (VP (VBD reported) (PP (IN on) (NP (NP (NNP Friday)) (, ,) (NP (NN evidence)))) (SBAR (IN that) (S (NP (NP (NNP America) (POS 's)) (JJ economic) (NN stamina)) (VP (VBZ has) (VP (VBN withstood) (NP (NP (DT any) (NNS disruptions)) (VP (VBN caused) (ADVP (RB so) (RB far)) (PP (IN by) (NP (NP (DT the) (JJ financial) (NN tumult)) (PP (IN in) (NP (NNP Asia)))))))))))) (. .))",e1,ei2184,created,the economy created jobs at a surprisingly robust pace in January,government_AUTHOR:ct_plus|AUTHOR:uu,ct_minus:0|ct_plus:10|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
NYT19980206.0460.tml,9,"The Bureau of Labor Statistics said the economy added 358,000 jobs last month, far above the 235,000 forecast by economists.","(S (NP (NP (DT The) (NNP Bureau)) (PP (IN of) (NP (NNP Labor) (NNPS Statistics)))) (VP (VBD said) (SBAR (S (NP (DT the) (NN economy)) (VP (VBD added) (NP (CD 358,000) (NNS jobs)) (NP-TMP (JJ last) (NN month)) (, ,) (ADVP (RB far) (PP (IN above) (NP (DT the) (CD 235,000) (NN forecast)) (PP (IN by) (NP (NNS economists))))))))) (. .))",e10,ei2191,added,"the economy added 358,000 jobs last month",Bureau_AUTHOR:ct_plus|AUTHOR:uu,ct_minus:0|ct_plus:10|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
NYT19980206.0460.tml,15,But economists said the wage increase was not enough to raise any concerns about higher inflation.,(S (CC But) (NP (NNS economists)) (VP (VBD said) (SBAR (S (NP (DT the) (NN wage) (NN increase)) (VP (VBD was) (RB not) (ADJP (JJ enough) (S (VP (TO to) (VP (VB raise) (NP (DT any) (NNS concerns)) (PP (IN about) (NP (JJR higher) (NN inflation))))))))))) (. .)),e32,ei2206,raise,concerns are raised,economists_AUTHOR:ct_minus|AUTHOR:uu,ct_minus:6|ct_plus:0|pr_minus:2|pr_plus:1|ps_minus:0|ps_plus:0|uu:1,train
NYT19980206.0460.tml,21,"With potential inflation counterbalanced by worries about possible price declines, the Fed and its chairman, Alan Greenspan, have suggested that they intend to keep interest rates unchanged until the economy tilts clearly in one direction or another.","(S (PP (IN With) (NP (NP (JJ potential) (NN inflation)) (VP (VBN counterbalanced) (PP (IN by) (NP (NP (NNS worries)) (PP (IN about) (NP (JJ possible) (NN price) (NNS declines)))))))) (, ,) (NP (NP (NP (DT the) (NNP Fed)) (CC and) (NP (PRP$ its) (NN chairman))) (, ,) (NP (NNP Alan) (NNP Greenspan)) (, ,)) (VP (VBP have) (VP (VBN suggested) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP intend) (S (VP (TO to) (VP (VB keep) (S (NP (NN interest) (NNS rates)) (ADJP (JJ unchanged))) (SBAR (IN until) (S (NP (DT the) (NN economy)) (VP (VBZ tilts) (ADVP (RB clearly)) (PP (IN in) (NP (NP (CD one) (NN direction)) (CC or) (NP (DT another))))))))))))))) (. .))",e246,ei2225,declines,there will be price declines,AUTHOR:ps_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:8|uu:2,train
NYT19980206.0460.tml,21,"With potential inflation counterbalanced by worries about possible price declines, the Fed and its chairman, Alan Greenspan, have suggested that they intend to keep interest rates unchanged until the economy tilts clearly in one direction or another.","(S (PP (IN With) (NP (NP (JJ potential) (NN inflation)) (VP (VBN counterbalanced) (PP (IN by) (NP (NP (NNS worries)) (PP (IN about) (NP (JJ possible) (NN price) (NNS declines)))))))) (, ,) (NP (NP (NP (DT the) (NNP Fed)) (CC and) (NP (PRP$ its) (NN chairman))) (, ,) (NP (NNP Alan) (NNP Greenspan)) (, ,)) (VP (VBP have) (VP (VBN suggested) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP intend) (S (VP (TO to) (VP (VB keep) (S (NP (NN interest) (NNS rates)) (ADJP (JJ unchanged))) (SBAR (IN until) (S (NP (DT the) (NN economy)) (VP (VBZ tilts) (ADVP (RB clearly)) (PP (IN in) (NP (NP (CD one) (NN direction)) (CC or) (NP (DT another))))))))))))))) (. .))",e61,ei2224,counterbalanced,potential inflation is counterbalanced by worries,AUTHOR:ct_plus,ct_minus:0|ct_plus:7|pr_minus:0|pr_plus:1|ps_minus:0|ps_plus:1|uu:1,train
NYT19980206.0460.tml,29,The likelihood that the federal budget will soon move from deficit into surplus has further improved the outlook.,(S (NP (NP (DT The) (NN likelihood)) (SBAR (IN that) (S (NP (DT the) (JJ federal) (NN budget)) (VP (MD will) (ADVP (RB soon)) (VP (VB move) (PP (IN from) (NP (NN deficit))) (PP (IN into) (NP (NN surplus)))))))) (VP (VBZ has) (ADVP (RBR further)) (VP (VBN improved) (NP (DT the) (NN outlook)))) (. .)),e107,ei2251,move,the federal budget will soon move from deficit into surplus,AUTHOR:pr_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:5|ps_minus:0|ps_plus:4|uu:0,train
NYT19980206.0460.tml,37,"The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar, a situation that is expected to lead to a surge of inexpensive imports into the United States, hurting American competitors.","(S (NP (NP (DT The) (JJ major) (NN harm)) (PP (IN from) (NP (NNP Asia)))) (VP (VBZ is) (ADJP (JJ likely) (S (VP (TO to) (VP (VB come) (PP (IN from) (NP (NP (DT the) (NN plunge)) (PP (IN in) (NP (NP (DT the) (NN value)) (PP (IN of) (NP (JJ many) (JJ Asian) (NNS currencies))))))) (ADVP (JJ relative) (PP (TO to) (NP (NP (DT the) (NN dollar)) (, ,) (NP (NP (DT a) (NN situation)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN expected) (S (VP (TO to) (VP (VB lead) (PP (TO to) (NP (NP (DT a) (NN surge)) (PP (IN of) (NP (JJ inexpensive) (NNS imports))))) (PP (IN into) (NP (DT the) (NNP United) (NNPS States))) (, ,) (S (VP (VBG hurting) (NP (JJ American) (NNS competitors)))))))))))))))))))) (. .))",e162,ei2270,lead,the situation will lead to a surge of inexpensive imports into the United States,GEN_AUTHOR:pr_plus|AUTHOR:pr_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:8|ps_minus:0|ps_plus:1|uu:0,train
NYT19980206.0460.tml,37,"The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar, a situation that is expected to lead to a surge of inexpensive imports into the United States, hurting American competitors.","(S (NP (NP (DT The) (JJ major) (NN harm)) (PP (IN from) (NP (NNP Asia)))) (VP (VBZ is) (ADJP (JJ likely) (S (VP (TO to) (VP (VB come) (PP (IN from) (NP (NP (DT the) (NN plunge)) (PP (IN in) (NP (NP (DT the) (NN value)) (PP (IN of) (NP (JJ many) (JJ Asian) (NNS currencies))))))) (ADVP (JJ relative) (PP (TO to) (NP (NP (DT the) (NN dollar)) (, ,) (NP (NP (DT a) (NN situation)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN expected) (S (VP (TO to) (VP (VB lead) (PP (TO to) (NP (NP (DT a) (NN surge)) (PP (IN of) (NP (JJ inexpensive) (NNS imports))))) (PP (IN into) (NP (DT the) (NNP United) (NNPS States))) (, ,) (S (VP (VBG hurting) (NP (JJ American) (NNS competitors)))))))))))))))))))) (. .))",e163,ei2271,surge,there will be a surge of inexpensive imports into the United States,GEN_AUTHOR:pr_plus|AUTHOR:pr_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:6|ps_minus:0|ps_plus:2|uu:1,train
